,per_it_avg_total_length,per_it_best_total_length,per_it_best_max_car_length,per_it_best_min_car_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
5595,43609.64165969721,38733.04406241046,1756.3011367849526,0.0,5054.444538089891,250167866.02828002,68026889.31795315
5596,40342.61904969293,38733.04406241046,1756.3011367849526,0.0,3104.548857551371,134707456.23956126,68026889.31795315
5597,41263.728888118094,38733.04406241046,1756.3011367849526,0.0,3221.147777156854,152371239.42192745,68026889.31795315
5598,40175.85952385441,38733.04406241046,1756.3011367849526,0.0,3070.9656407317775,132817138.83745177,68026889.31795315
5599,39181.75053492149,38733.04406241046,1756.3011367849526,0.0,2076.372015855715,81396694.53868714,68026889.31795315
5600,44508.3712601915,38733.04406241046,1756.3011367849526,0.0,7067.400125473752,340844465.4283377,68026889.31795315
5601,41301.38234978799,38733.04406241046,1756.3011367849526,0.0,4018.482676804343,181458272.96778518,68026889.31795315
5602,39297.41607442731,38733.04406241046,1756.3011367849526,0.0,1893.668414991275,74526784.46453825,68026889.31795315
5603,40261.68175362637,38733.04406241046,1756.3011367849526,0.0,3121.8144352578947,135174957.1491093,68026889.31795315
5604,46810.69247629844,38733.04406241046,1756.3011367849526,0.0,7910.613723922428,440903782.1303638,68026889.31795315
5605,40603.91666378417,38733.04406241046,1756.3011367849526,0.0,3242.4910074562204,140375532.22428137,68026889.31795315
5606,39547.63530754736,38733.04406241046,1756.3011367849526,0.0,2126.124167948481,84433191.48890719,68026889.31795315
5607,39949.582608002296,38733.04406241046,1756.3011367849526,0.0,2973.497788540816,128080685.48666671,68026889.31795315
5608,40124.04826609536,38733.04406241046,1756.3011367849526,0.0,2861.5862244925306,124795379.62894842,68026889.31795315
5609,40531.03037151722,38733.04406241046,1756.3011367849526,0.0,3000.4933986804563,129924884.20818612,68026889.31795315
5610,38993.95477328768,38733.04406241046,1756.3011367849526,0.0,1940.50589687202,75763475.99637643,68026889.31795315
5611,41154.61001917198,38733.04406241046,1756.3011367849526,0.0,3909.4919234847926,199587242.46785673,68026889.31795315
5612,42535.134560642255,38733.04406241046,1756.3011367849526,0.0,4925.932166730526,230542641.53114596,68026889.31795315
5613,40615.03080167532,38733.04406241046,1756.3011367849526,0.0,3231.5115253191,140563755.9601638,68026889.31795315
5614,41006.33962267003,38733.04406241046,1756.3011367849526,0.0,3749.3427484107187,169825453.83459026,68026889.31795315
5615,40162.78578659748,38733.04406241046,1756.3011367849526,0.0,2921.859164329327,126646914.88357219,68026889.31795315
5616,42532.83371903082,38733.04406241046,1756.3011367849526,0.0,4847.848135887399,227057286.70389825,68026889.31795315
5617,41217.62783855645,38733.04406241046,1756.3011367849526,0.0,4160.089560540968,189545856.67502013,68026889.31795315
5618,45685.300306615594,38733.04406241046,1756.3011367849526,0.0,5931.915648522491,340853303.02215296,68026889.31795315
5619,41107.60398242903,38733.04406241046,1756.3011367849526,0.0,4148.233935765978,187898833.0283323,68026889.31795315
5620,42421.181161166074,38733.04406241046,1756.3011367849526,0.0,5098.845323236899,258131910.5075481,68026889.31795315
5621,43371.206056277835,38733.04406241046,1756.3011367849526,0.0,4997.0422008690175,245327504.35126266,68026889.31795315
5622,41278.9212475447,38733.04406241046,1756.3011367849526,0.0,3937.8148908805024,180555457.53072146,68026889.31795315
5623,42570.073946736746,38733.04406241046,1756.3011367849526,0.0,5149.526505204002,244819757.6400799,68026889.31795315
5624,40981.3476124264,38733.04406241046,1756.3011367849526,0.0,3851.1036687358187,172339517.70670444,68026889.31795315
5625,43541.72226979189,38733.04406241046,1756.3011367849526,0.0,5132.568200513761,250228823.84011737,68026889.31795315
5626,41315.84027980659,38733.04406241046,1756.3011367849526,0.0,3826.095167013179,174712816.4430246,68026889.31795315
5627,41124.252077461264,38733.04406241046,1756.3011367849526,0.0,3984.648681493697,181465433.52997166,68026889.31795315
5628,40132.7861226058,38733.04406241046,1756.3011367849526,0.0,3051.967685019854,133112936.34388216,68026889.31795315
5629,39668.244900338046,38733.04406241046,1756.3011367849526,0.0,2298.1121629817144,91644180.50480238,68026889.31795315
5630,40178.66313145292,38733.04406241046,1756.3011367849526,0.0,2985.6236632535865,128949547.21149239,68026889.31795315
5631,43627.40567475585,38733.04406241046,1756.3011367849526,0.0,5053.933841158933,249342814.11848515,68026889.31795315
5632,40127.63254453179,38733.04406241046,1756.3011367849526,0.0,2932.3039912467257,126802301.0287607,68026889.31795315
5633,41934.916983487456,38733.04406241046,1756.3011367849526,0.0,4893.033376928786,246892450.4437222,68026889.31795315
5634,41265.03503370965,38733.04406241046,1756.3011367849526,0.0,3894.4100052010826,178279068.69399983,68026889.31795315
